"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2021-12-22,1501697,430,3437,26076,4,7
"2",2021-12-21,1501267,4748,3810,26072,7,8
"3",2021-12-20,1496519,6174,3466,26065,5,8
"4",2021-12-19,1490345,2766,2944,26060,6,9
"5",2021-12-18,1487579,3266,2703,26054,9,9
"6",2021-12-17,1484313,3502,2381,26045,11,10
"7",2021-12-16,1480811,3173,2083,26034,6,9
"8",2021-12-15,1477638,3039,1840,26028,12,10
"9",2021-12-14,1474599,2345,1653,26016,7,9
"10",2021-12-13,1472254,2515,1547,26009,11,10
"11",2021-12-12,1469739,1082,1451,25998,8,10
"12",2021-12-11,1468657,1013,1419,25990,16,10
"13",2021-12-10,1467644,1414,1406,25974,5,8
"14",2021-12-09,1466230,1473,1416,25969,12,9
"15",2021-12-08,1464757,1731,1429,25957,7,10
"16",2021-12-07,1463026,1604,1433,25950,12,12
"17",2021-12-06,1461422,1842,1464,25938,8,12
"18",2021-12-05,1459580,855,1496,25930,7,13
"19",2021-12-04,1458725,926,1517,25923,7,14
"20",2021-12-03,1457799,1482,1505,25916,12,14
"21",2021-12-02,1456317,1560,1429,25904,15,14
"22",2021-12-01,1454757,1760,1277,25889,20,14
"23",2021-11-30,1452997,1825,1167,25869,14,13
"24",2021-11-29,1451172,2063,1059,25855,15,14
"25",2021-11-28,1449109,1000,911,25840,14,13
"26",2021-11-27,1448109,844,858,25826,10,13
"27",2021-11-26,1447265,948,833,25816,11,13
"28",2021-11-25,1446317,497,835,25805,15,13
"29",2021-11-24,1445820,993,919,25790,11,12
"30",2021-11-23,1444827,1068,944,25779,21,12
"31",2021-11-22,1443759,1025,960,25758,11,10
"32",2021-11-21,1442734,631,1004,25747,11,11
"33",2021-11-20,1442103,666,1009,25736,10,12
"34",2021-11-19,1441437,964,1018,25726,10,12
"35",2021-11-18,1440473,1086,1034,25716,9,12
"36",2021-11-17,1439387,1167,1012,25707,11,13
"37",2021-11-16,1438220,1178,1019,25696,6,14
"38",2021-11-15,1437042,1335,1036,25690,20,16
"39",2021-11-14,1435707,669,1050,25670,15,15
"40",2021-11-13,1435038,726,1065,25655,12,14
"41",2021-11-12,1434312,1075,1075,25643,13,14
"42",2021-11-11,1433237,932,1108,25630,16,14
"43",2021-11-10,1432305,1220,1163,25614,17,14
"44",2021-11-09,1431085,1297,1192,25597,19,13
"45",2021-11-08,1429788,1428,1203,25578,10,12
"46",2021-11-07,1428360,774,1211,25568,13,13
"47",2021-11-06,1427586,799,1206,25555,11,13
"48",2021-11-05,1426787,1303,1209,25544,15,13
"49",2021-11-04,1425484,1323,1186,25529,14,12
"50",2021-11-03,1424161,1422,1170,25515,11,12
"51",2021-11-02,1422739,1371,1156,25504,13,12
"52",2021-11-01,1421368,1486,1149,25491,15,12
"53",2021-10-31,1419882,740,1135,25476,11,11
"54",2021-10-30,1419142,818,1127,25465,12,11
"55",2021-10-29,1418324,1139,1119,25453,9,12
"56",2021-10-28,1417185,1216,1113,25444,12,12
"57",2021-10-27,1415969,1321,1097,25432,10,12
"58",2021-10-26,1414648,1321,1084,25422,12,12
"59",2021-10-25,1413327,1390,1075,25410,12,12
"60",2021-10-24,1411937,681,1065,25398,13,11
"61",2021-10-23,1411256,762,1062,25385,13,12
"62",2021-10-22,1410494,1097,1054,25372,11,13
"63",2021-10-21,1409397,1108,1035,25361,14,13
"64",2021-10-20,1408289,1229,1025,25347,9,12
"65",2021-10-19,1407060,1256,999,25338,9,13
"66",2021-10-18,1405804,1324,966,25329,11,14
"67",2021-10-17,1404480,661,942,25318,14,14
"68",2021-10-16,1403819,706,932,25304,22,13
"69",2021-10-15,1403113,962,925,25282,9,11
"70",2021-10-14,1402151,1038,922,25273,13,12
"71",2021-10-13,1401113,1046,908,25260,13,13
"72",2021-10-12,1400067,1023,916,25247,16,14
"73",2021-10-11,1399044,1158,927,25231,11,15
"74",2021-10-10,1397886,591,939,25220,8,15
"75",2021-10-09,1397295,657,941,25212,7,16
"76",2021-10-08,1396638,942,955,25205,19,19
"77",2021-10-07,1395696,939,992,25186,18,19
"78",2021-10-06,1394757,1104,1029,25168,17,18
"79",2021-10-05,1393653,1095,1056,25151,23,18
"80",2021-10-04,1392558,1242,1088,25128,14,18
"81",2021-10-03,1391316,608,1118,25114,15,18
"82",2021-10-02,1390708,757,1133,25099,25,18
"83",2021-10-01,1389951,1200,1148,25074,19,18
"84",2021-09-30,1388751,1197,1147,25055,11,18
"85",2021-09-29,1387554,1290,1160,25044,21,19
"86",2021-09-28,1386264,1325,1177,25023,18,20
"87",2021-09-27,1384939,1451,1203,25005,17,21
