"","date_use","cumulative_persons_tested_all","cumulative_positive_persons_all","percent_positive_persons_cum","persons_tested","positive_persons","percent_positive_persons_date","avg_persons_tested","avg_positive_persons","percent_positive_persons_cum_avg_date"
"1",2021-12-22,9881867,1460637,14.78,57147,3748,6.56,90674,4760,5.25
"2",2021-12-21,9870108,1458181,14.77,56085,5979,10.66,112839,4801,4.25
"3",2021-12-20,9860212,1453301,14.74,91326,7351,8.05,129292,4315,3.34
"4",2021-12-19,9845716,1447320,14.7,34096,3198,9.38,140859,3650,2.59
"5",2021-12-18,9836700,1444737,14.69,45935,3939,8.58,148878,3330,2.24
"6",2021-12-17,9825412,1441644,14.67,159566,4672,2.93,147646,2958,2
"7",2021-12-16,9779881,1437904,14.7,190562,4432,2.33,137127,2571,1.87
"8",2021-12-15,9729289,1434327,14.74,212303,4038,1.9,136443,2221,1.63
"9",2021-12-14,9674688,1431050,14.79,171258,2575,1.5,136518,1952,1.43
"10",2021-12-13,9639067,1428903,14.82,172290,2699,1.57,144803,1877,1.3
"11",2021-12-12,9623129,1426705,14.83,90229,956,1.06,149011,1821,1.22
"12",2021-12-11,9614751,1426004,14.83,37317,1337,3.58,153947,1813,1.18
"13",2021-12-10,9604935,1425006,14.84,85932,1958,2.28,153576,1790,1.17
"14",2021-12-09,9590981,1423536,14.84,185773,1983,1.07,153384,1785,1.16
"15",2021-12-08,9576830,1421989,14.85,212825,2159,1.01,154127,1792,1.16
"16",2021-12-07,9560889,1420225,14.85,229252,2045,0.89,154315,1780,1.15
"17",2021-12-06,9543671,1418579,14.86,201748,2311,1.15,154295,1791,1.16
"18",2021-12-05,9528725,1416682,14.87,124779,897,0.72,158962,1791,1.13
"19",2021-12-04,9520991,1415982,14.87,34726,1176,3.39,159559,1768,1.11
"20",2021-12-03,9512144,1415060,14.88,84585,1926,2.28,159461,1748,1.1
"21",2021-12-02,9498490,1413506,14.88,190977,2033,1.06,152838,1640,1.07
"22",2021-12-01,9482709,1411822,14.89,214140,2070,0.97,126874,1390,1.1
"23",2021-11-30,9465322,1410059,14.9,229110,2126,0.93,104319,1289,1.24
"24",2021-11-29,9448272,1408275,14.91,234420,2308,0.98,82701,1180,1.43
"25",2021-11-28,9429970,1406292,14.91,128954,737,0.57,62940,1045,1.66
"26",2021-11-27,9421955,1405705,14.92,34042,1035,3.04,48722,1028,2.11
"27",2021-11-26,9413914,1404928,14.92,38225,1170,3.06,47941,1000,2.09
"28",2021-11-25,9404407,1404017,14.93,9229,286,3.1,53639,1031,1.92
"29",2021-11-24,9401615,1403807,14.93,56250,1360,2.42,78738,1200,1.52
"30",2021-11-23,9391449,1402776,14.94,77784,1364,1.75,100451,1228,1.22
"31",2021-11-22,9379738,1401736,14.94,96097,1364,1.42,120943,1244,1.03
"32",2021-11-21,9366604,1400670,14.95,29424,617,2.1,135211,1293,0.96
"33",2021-11-20,9360218,1400199,14.96,28575,841,2.94,148257,1300,0.88
"34",2021-11-19,9352241,1399595,14.97,78114,1383,1.77,148558,1317,0.89
"35",2021-11-18,9340606,1398530,14.97,184922,1473,0.8,150252,1336,0.89
"36",2021-11-17,9327192,1397385,14.98,208240,1557,0.75,147742,1303,0.88
"37",2021-11-16,9313545,1396150,14.99,221227,1476,0.67,136507,1309,0.96
"38",2021-11-15,9298201,1394958,15,195976,1701,0.87,138012,1335,0.97
"39",2021-11-14,9282853,1393590,15.01,120743,672,0.56,139968,1349,0.96
"40",2021-11-13,9275958,1393091,15.02,30684,955,3.11,141517,1359,0.96
"41",2021-11-12,9268169,1392386,15.02,89969,1516,1.69,141822,1361,0.96
"42",2021-11-11,9255605,1391233,15.03,167355,1246,0.74,154453,1380,0.89
"43",2021-11-10,9243879,1390257,15.04,129592,1595,1.23,159619,1450,0.91
"44",2021-11-09,9229327,1389016,15.05,231763,1658,0.72,171230,1476,0.86
"45",2021-11-08,9213893,1387673,15.06,209667,1801,0.86,164950,1468,0.89
"46",2021-11-07,9198208,1386221,15.07,131591,745,0.57,164147,1462,0.89
"47",2021-11-06,9191403,1385624,15.08,32816,964,2.94,148194,1447,0.98
"48",2021-11-05,9182974,1384905,15.08,178388,1653,0.93,147835,1455,0.98
"49",2021-11-04,9168454,1383604,15.09,203519,1734,0.85,143871,1433,1
"50",2021-11-03,9152239,1382232,15.1,210868,1775,0.84,143193,1405,0.98
"51",2021-11-02,9136760,1380805,15.11,187799,1607,0.86,142626,1391,0.98
"52",2021-11-01,9121379,1379495,15.12,204045,1759,0.86,143655,1396,0.97
"53",2021-10-31,9106939,1378082,15.13,19922,639,3.21,141569,1379,0.97
"54",2021-10-30,9101589,1377585,15.14,30303,1020,3.37,141558,1378,0.97
"55",2021-10-29,9093754,1376821,15.14,150638,1499,1,141456,1361,0.96
"56",2021-10-28,9081536,1375673,15.15,198778,1533,0.77,143804,1353,0.94
"57",2021-10-27,9067774,1374453,15.16,206894,1680,0.81,144633,1341,0.93
"58",2021-10-26,9053140,1373090,15.17,195003,1643,0.84,144884,1315,0.91
"59",2021-10-25,9037522,1371775,15.18,189445,1638,0.86,143993,1279,0.89
"60",2021-10-24,9024721,1370434,15.19,19842,633,3.19,146850,1271,0.87
"61",2021-10-23,9019413,1369939,15.19,29589,898,3.03,147042,1262,0.86
